,season,episode,title,speaker,line,category
205,2,18,Take Your Daughter to Work Day,Oscar,Is that Chet Montgomery?,Opinions
206,2,18,Take Your Daughter to Work Day,Toby,"Believe me, she has enough toys... she doesn't need your watch.",Personal
207,2,18,Take Your Daughter to Work Day,Toby,"Well, you need a wife first, or at least a girlfriend.",Personal
208,2,18,Take Your Daughter to Work Day,Toby,"If you really want to have kids, I--- I guess you could somehow... foster parent, or something.",Personal
209,2,19,Michael's Birthday,Toby,"Didn't you lose a lot of money on that other investment, the one from the email?",Personal
210,2,19,Michael's Birthday,Oscar,Skin cancer is treatable.,Opinions
211,2,19,Michael's Birthday,Angela,"You don't know it's going to be okay. Don't give him false hope. ...It's probably nothing, though.",Interpersonal
212,2,19,Michael's Birthday,Angela,No one cares about your birthday. Kevin's waiting to hear if he has skin cancer.,Interpersonal
213,2,19,Michael's Birthday,Toby," Honestly, is there any way you can get on your fiancee's plan? Our health plan is s... just... it's terrible.",HR
214,2,20,Drug Testing,Toby,"Oh, when you sign your job application you agree to comply with random drug testing.",HR
215,2,20,Drug Testing,Angela,I don't take any prescription drugs.,Personal
216,2,20,Drug Testing,Toby,"Hookah is not an illegal drug, Michael.",HR
217,2,20,Drug Testing,Toby,"No it's not. It's a type of pipe. You can fill it with tobacco, often mixed with fruit, or other flavors.",Opinions
218,2,20,Drug Testing,Angela,You're not going to get my permission on this.,HR
219,2,21,Conflict Resolution,Angela,I didn't get mine yet.,Logistics
220,2,21,Conflict Resolution,Oscar,"It's like child abuse. I say, if Jesus saw that, he'd freak out! He'd freak out, Toby! I mean on some levels... it's... and I'm supposed to work there. I'm supposed...",Opinions
221,2,21,Conflict Resolution,Toby,Here's how I usually handle this: all I do is listen.,Interpersonal
222,2,21,Conflict Resolution,Toby,"It's like if you write someone a letter, when you're really angry... they say to keep it in a drawer for a couple days. Then you just never end up sending it.",Opinions
223,2,21,Conflict Resolution,Toby,That was the right decision for me and my marriage.,Personal
224,2,21,Conflict Resolution,Angela,"I got this poster for Christmas, and I feel I want to see it everyday. It makes me feel like the babies are the true artists, and God has a really cute sense of humor.",Personal
