season,episode,title,scene,speaker,line,Unnamed: 6
2,16,Valentine's Day,940,Jan,"Craig, you realize that we're trying to decide whether if drastic steps need to be taken?",
2,16,Valentine's Day,940,Jan,"Well, the point is, is that doesn't exactly bode well for your branch.",
2,16,Valentine's Day,941,Jan,"NO, NO I'm not, I'm not, I just... I just don't know what to do anymore, Michael. I mean, we're all gonna get fired.",
2,16,Valentine's Day,941,Jan,"Yeah, Michael - the CFO thinks that we slept together. Do you understand, people get fired for much less? And I just  can't believe that you told everybody and we didn't even sleep together.",
2,16,Valentine's Day,941,Jan,"Oh, God. Michael. It was months ago. It was once, It's over. Do you understand?",
2,16,Valentine's Day,941,Jan,"Surely, you cannot be serious?",
2,17,Dwight's Speech,961,Oscar,"I get here early every morning so I can set the thermostat. I like it a little cooler, around 66 degrees. I'm more productive. Maybe some people don't like it as cold as I do, but I don't care.",
2,17,Dwight's Speech,965,Angela,Are we out of jobs?,
2,18,Take Your Daughter to Work Day,1016,Angela,"You know, I never misbehaved in front of my father because he was a very strict disciplinarian. I can only hope my mate has some of those same qualities .",
2,18,Take Your Daughter to Work Day,1021,Oscar,Is that Chet Montgomery?,
2,18,Take Your Daughter to Work Day,1025,Toby,"Believe me, she has enough toys... she doesn't need your watch.",
2,18,Take Your Daughter to Work Day,1026,Toby,"Well, you need a wife first, or at least a girlfriend.",
2,18,Take Your Daughter to Work Day,1026,Toby,"If you really want to have kids, I--- I guess you could somehow... foster parent, or something.",
2,19,Michael's Birthday,1031,Toby,"Didn't you lose a lot of money on that other investment, the one from the email?",
2,19,Michael's Birthday,1042,Oscar,Skin cancer is treatable.,
2,19,Michael's Birthday,1042,Angela,"You don't know it's going to be okay. Don't give him false hope. ...It's probably nothing, though.",
2,19,Michael's Birthday,1055,Angela,No one cares about your birthday. Kevin's waiting to hear if he has skin cancer.,
2,19,Michael's Birthday,1057,Toby," Honestly, is there any way you can get on your fiancee's plan? Our health plan is s... just... it's terrible.",
2,20,Drug Testing,1086,Toby,"Oh, when you sign your job application you agree to comply with random drug testing.",
2,20,Drug Testing,1089,Angela,I don't take any prescription drugs.,
2,20,Drug Testing,1093,Toby,"Hookah is not an illegal drug, Michael.",
2,20,Drug Testing,1093,Toby,"No it's not. It's a type of pipe. You can fill it with tobacco, often mixed with fruit, or other flavors.",
2,20,Drug Testing,1098,Angela,You're not going to get my permission on this.,
2,21,Conflict Resolution,1109,Angela,I didn't get mine yet.,
2,21,Conflict Resolution,1115,Oscar,"It's like child abuse. I say, if Jesus saw that, he'd freak out! He'd freak out, Toby! I mean on some levels... it's... and I'm supposed to work there. I'm supposed...",
2,21,Conflict Resolution,1116,Toby,Here's how I usually handle this: all I do is listen.,
2,21,Conflict Resolution,1116,Toby,"It's like if you write someone a letter, when you're really angry... they say to keep it in a drawer for a couple days. Then you just never end up sending it.",
2,21,Conflict Resolution,1116,Toby,That was the right decision for me and my marriage.,
